time;rx_cnt;rx_avg_lvl;curr_ch_occ;curr_planes;test_tx_cnt;test_rx_succ_cnt_s;test_rx_succ_cnt_l;test_rx_succ_cnt_ac;test_succ_lvl_s;test_succ_lvl_l;test_succ_lvl_ac;test_avg_lvl_s;test_avg_lvl_l;test_avg_lvl_ac
2020-01-30 19:00:08.975562;22104;-89;0.1010684;24;250;0;0;0;0;0;0;-89;-88.9;-89.1
2020-01-30 19:00:19.206894;23771;-87.5;0.1042572;25;250;0;0;1;0.368;0.38;0.4;-87.5;-87.4;-87.6
2020-01-30 19:00:29.418983;22533;-59.51;0.10816065;25;250;50;74;124;91.264;94.24;99.2;-59.51;-59.41;-59.61
2020-01-30 19:00:39.640520;23054;-60.57;0.107873575;25;250;50;75;125;91.632;94.62;99.6;-60.57;-60.47;-60.67
2020-01-30 19:00:49.900979;22941;-61.83;0.108946975;24;250;49;74;124;90.896;93.86;98.8;-61.83;-61.73;-61.93
2020-01-30 19:01:00.127118;23025;-62.52;0.10708945;24;250;50;74;124;91.264;94.24;99.2;-62.52;-62.42;-62.62
2020-01-30 19:01:10.353063;22391;-63.83;0.1069018;24;250;49;74;124;90.896;93.86;98.8;-63.83;-63.73;-63.93
2020-01-30 19:01:20.567915;23076;-64.7;0.1053619;24;250;48;72;121;88.688;91.58;96.4;-64.7;-64.6;-64.8
2020-01-30 19:01:30.783106;22696;-65.54;0.106253875;25;250;49;74;124;90.896;93.86;98.8;-65.54;-65.44;-65.64
2020-01-30 19:01:41.005362;22839;-66.7;0.103378475;26;250;49;74;123;90.528;93.48;98.4;-66.7;-66.6;-66.8
2020-01-30 19:01:51.260900;23127;-67.85;0.104122875;26;250;49;74;123;90.16;93.1;98;-67.85;-67.75;-67.95
2020-01-30 19:02:01.519675;23693;-68.58;0.106590025;25;250;49;74;124;90.896;93.86;98.8;-68.58;-68.48;-68.68
2020-01-30 19:02:11.733806;21971;-69.72;0.1073111;25;250;49;74;123;90.528;93.48;98.4;-69.72;-69.62;-69.82
2020-01-30 19:02:21.953903;21549;-70.78;0.101959575;24;250;49;73;122;89.792;92.72;97.6;-70.78;-70.68;-70.88
2020-01-30 19:02:32.167830;23327;-71.75;0.1035865;25;250;46;68;114;83.904;86.64;91.2;-71.75;-71.65;-71.85
2020-01-30 19:02:42.520163;25412;-72.74;0.10621015;25;250;47;71;118;86.848;89.68;94.4;-72.74;-72.64;-72.84
2020-01-30 19:02:52.754882;26558;-73.83;0.114132125;25;250;47;70;117;86.112;88.92;93.6;-73.83;-73.73;-73.93
2020-01-30 19:03:02.971915;26838;-74.79;0.118202875;23;250;46;70;116;85.376;88.16;92.8;-74.79;-74.69;-74.89
2020-01-30 19:03:13.192465;26484;-75.83;0.116405475;22;250;44;67;111;81.696;84.36;88.8;-75.83;-75.73;-75.93
2020-01-30 19:03:24.169428;26420;-76.56;0.113885225;24;250;46;68;114;83.904;86.64;91.2;-76.56;-76.46;-76.66
2020-01-30 19:03:34.430255;27190;-77.68;0.11323375;25;250;41;61;102;74.704;77.14;81.2;-77.68;-77.58;-77.78
2020-01-30 19:03:44.643680;26136;-78.56;0.11492585;26;250;44;66;110;80.592;83.22;87.6;-78.56;-78.46;-78.66
2020-01-30 19:03:54.874480;26282;-79.63;0.1146331;26;250;40;61;101;74.336;76.76;80.8;-79.63;-79.53;-79.73
2020-01-30 19:04:05.176765;25957;-80.71;0.11445755;28;250;40;60;100;73.6;76;80;-80.71;-80.61;-80.81
2020-01-30 19:04:15.432315;25817;-81.64;0.1106038;29;250;41;61;102;74.704;77.14;81.2;-81.64;-81.54;-81.74
2020-01-30 19:04:25.659164;24562;-82.5;0.111894725;29;250;39;58;97;71.024;73.34;77.2;-82.5;-82.4;-82.6
2020-01-30 19:04:35.888205;25502;-83.6;0.11218685;32;250;36;54;90;66.24;68.4;72;-83.6;-83.5;-83.7
2020-01-30 19:04:46.115923;25167;-84.54;0.115718775;32;250;36;54;91;66.608;68.78;72.4;-84.54;-84.44;-84.64
2020-01-30 19:04:56.333143;25831;-85.56;0.112026125;32;250;31;47;79;57.776;59.66;62.8;-85.56;-85.46;-85.66
2020-01-30 19:05:06.549023;25833;-86.64;0.11529745;32;250;24;37;61;44.896;46.36;48.8;-86.64;-86.54;-86.74
2020-01-30 19:05:16.777157;26849;-87.46;0.114831975;32;250;15;22;37;27.232;28.12;29.6;-87.46;-87.36;-87.56
2020-01-30 19:05:27.000138;26638;-87.78;0.116465325;32;250;4;5;9;6.624;6.84;7.2;-87.78;-87.68;-87.88
2020-01-30 19:05:37.216765;25329;-88.62;0.113684;31;250;1;1;2;1.472;1.52;1.6;-88.62;-88.52;-88.72
2020-01-30 19:05:47.637888;26232;-90;0.1126956;29;250;0;0;0;0;0;0;-90;-89.9;-90.1
2020-01-30 19:05:57.863921;27603;-59.52;0.11759555;28;250;49;73;122;89.424;92.34;97.2;-59.52;-59.42;-59.62
2020-01-30 19:06:08.196413;27898;-60.57;0.121486825;29;250;50;74;124;91.264;94.24;99.2;-60.57;-60.47;-60.67
2020-01-30 19:06:18.409728;26112;-61.86;0.113417125;29;250;48;72;121;88.688;91.58;96.4;-61.86;-61.76;-61.96
2020-01-30 19:06:28.676727;25993;-62.54;0.1172049;28;250;49;74;123;90.528;93.48;98.4;-62.54;-62.44;-62.64
2020-01-30 19:06:38.895582;25763;-63.88;0.114949725;28;250;50;74;124;91.264;94.24;99.2;-63.88;-63.78;-63.98
2020-01-30 19:06:49.182305;25131;-64.77;0.110780425;28;250;49;74;124;90.896;93.86;98.8;-64.77;-64.67;-64.87
2020-01-30 19:06:59.402055;26075;-65.55;0.113277975;27;250;49;74;124;90.896;93.86;98.8;-65.55;-65.45;-65.65
2020-01-30 19:07:09.685903;27752;-66.75;0.121120475;27;250;47;70;117;85.744;88.54;93.2;-66.75;-66.65;-66.85
2020-01-30 19:07:19.897997;27315;-67.84;0.12092255;26;250;48;72;120;88.32;91.2;96;-67.84;-67.74;-67.94
2020-01-30 19:07:30.160604;26887;-68.59;0.121664625;24;250;49;74;123;90.16;93.1;98;-68.59;-68.49;-68.69
2020-01-30 19:07:40.506071;28142;-69.75;0.121155925;25;250;48;72;120;87.952;90.82;95.6;-69.75;-69.65;-69.85
2020-01-30 19:07:50.718973;27842;-70.84;0.12328505;25;250;48;71;119;87.584;90.44;95.2;-70.84;-70.74;-70.94
2020-01-30 19:08:00.936865;27302;-71.76;0.12227805;25;250;45;68;114;83.536;86.26;90.8;-71.76;-71.66;-71.86
2020-01-30 19:08:11.234147;26008;-72.77;0.117844925;26;250;45;68;113;83.168;85.88;90.4;-72.77;-72.67;-72.87
